pin_prefix,states,districts
712,westbengal,hooghly
721,westbengal,"jhargram, paschimmedinipur, purba medinipur"
722,westbengal,bankura
723,westbengal,purulia
731,westbengal,birbhum
732,westbengal,malda
733,westbengal,"dakshindinajpur, uttardinajpur"
734,westbengal,"darjeeling, kalimpong"
735,westbengal,jalpaiguri
736,westbengal,"alipurduar, coochbehar"
737,sikkim,"gangtok, mangan, namchi, soreng"
741,westbengal,nadia
742,westbengal,murshidabad
743,westbengal,"north24parganas, south24parganas"
744,andamanandnicobarislands,"nicobar, northandmiddleandaman, southandaman"
751,odisha,khordha
752,odisha,"nayagarh, puri"
753,odisha,cuttack
754,odisha,"jagatsinghpur, kendrapara"
755,odisha,jajpur
756,odisha,"balasore, bhadrak"
757,odisha,mayurbhanj
758,odisha,keonjhar
759,odisha,"angul, dhenkanal"
760,odisha,ganjam
761,odisha,gajapati
762,odisha,"boudh, kandhamal"
764,odisha,"koraput, malkangiri, nabarangpur"
765,odisha,rayagada
766,odisha,"kalahandi, nuapada"
767,odisha,"balangir, subarnapur"
768,odisha,"bargarh, deogarh, jharsuguda, sambalpur"
770,odisha,sundargarh
781,assam,"baksa, barpeta, kamrup, kamrupmetro, nalbari"
782,assam,"hojai, karbianglong, morigaon, nagaon, westkarbianglong"
783,assam,"bongaigaon, chirang, dhubri, goalpara, kokrajhar, southsalmara"
784,assam,"darrang, sonitpur, udalguri"
785,assam,"charaideo, golaghat, jorhat, majuli, sivasagar"
786,assam,"dibrugarh, tinsukia"
787,assam,"dhemaji, lakhimpur"
788,assam,"cachar, dima hasao, hailakandi, karimganj"
790,arunachalpradesh,"eastkameng, tawang, westkameng"
791,arunachalpradesh,"eastsiang, itansi, kra daadi, kurungkumey, lepa rada, lower subansiri, lowersiang, papumpare, shi yomi, siang, uppersubansiri, westsiang"
792,arunachalpradesh,"anjaw, changlang, lohit, longding, lowerdibangvalley, namsai, tirap"
793,meghalaya,"eastjaintiahills, eastkhasihills, ribhoi, southwestkhasihills, westjaintiahills, westkhasihills"
794,meghalaya,"eastgarohills, northgarohills, southgarohills, southwestgarohills, westgarohills"
795,manipur,"bishnupur, chandel, churachandpur, imphaleast, imphalwest, jiribam, kakching, kamjong, kangpokpi, noney, pherzawl, senapati, tamenglong, tengnoupal, thoubal, ukhrul"
796,mizoram,"aizawl, champhai, hnahthial, khawzawl, kolasib, lawngtlai, lunglei, mamit, saitual, serchhip"
797,nagaland,"chumoukedima, dimapur, kohima, niuland, peren, phek, wokha"
798,nagaland,"kiphire, longleng, mokokchung, mon, noklak, tuensang, zunheboto"
799,tripura,"dhalai, gomati, khowai, northtripura, sepahijala, southtripura, unakoti, westtripura"
800,bihar,patna
802,bihar,"bhojpur, buxar"
803,bihar,nalanda
804,bihar,"arwal, jehanabad"
805,bihar,nawada
811,bihar,"jamui, lakhisarai, munger, sheikhpura"
812,bihar,bhagalpur
813,bihar,banka
814,jharkhand,"deoghar, dumka, godda"
815,jharkhand,"giridih, jamtara"
816,jharkhand,"pakur, sahibganj"
821,bihar,"kaimur, rohtas"
822,jharkhand,"garhwa, palamu"
823,bihar,gaya
824,bihar,aurangabad
825,jharkhand,"chatra, hazaribagh, koderma"
826,jharkhand,dhanbad
827,jharkhand,bokaro
829,jharkhand,"latehar, ramgarh"
831,jharkhand,eastsinghbhum
833,jharkhand,"seraikela, westsinghbhum"
834,jharkhand,ranchi
835,jharkhand,"gumla, khunti, lohardaga, simdega"
841,bihar,"gopalganj, saran, siwan"
842,bihar,muzaffarpur
843,bihar,"sheohar, sitamarhi"
844,bihar,vaishali
845,bihar,"eastchamparan, westchamparan"
846,bihar,darbhanga
847,bihar,madhubani
848,bihar,samastipur
851,bihar,"begusarai, khagaria"
852,bihar,"madhepura, saharsa, supaul"
854,bihar,"araria, katihar, purnia"
855,bihar,kishanganj
