state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
20,355,district,bokaro,total,2062330,1072807,989523,293786,1273520,788810,685368,507677,177691,1376962
20,355,district,bokaro,rural,1078686,554954,523732,169694,577178,501508,412813,276739,136074,665873
20,355,district,bokaro,urban,983644,517853,465791,124092,696342,287302,272555,230938,41617,711089
18,319,district,bongaigaon,total,738804,375818,362986,116392,434078,304726,255806,197542,58264,482998
18,319,district,bongaigaon,rural,628994,319786,309208,105251,347869,281125,218487,166482,52005,410507
18,319,district,bongaigaon,urban,109810,56032,53778,11141,86209,23601,37319,31060,6259,72491
9,149,district,budaun,total,3681896,1967759,1714137,664909,1547477,2134419,1107343,939616,167727,2574553
9,149,district,budaun,rural,3037301,1630376,1406925,566470,1224505,1812796,927552,779681,147871,2109749
9,149,district,budaun,urban,644595,337383,307212,98439,322972,321623,179791,159935,19856,464804
9,142,district,bulandshahr,total,3499171,1845260,1653911,549796,2031656,1467515,1173260,897815,275445,2325911
9,142,district,bulandshahr,rural,2631742,1390490,1241252,422617,1517979,1113763,919473,679517,239956,1712269
9,142,district,bulandshahr,urban,867429,454770,412659,127179,513677,353752,253787,218298,35489,613642
