state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
27,500,district,buldana,total,2586258,1337560,1248698,332125,1879874,706384,1219641,734024,485617,1366617
27,500,district,buldana,rural,2037398,1055242,982156,264970,1450758,586640,1038597,590821,447776,998801
27,500,district,buldana,urban,548860,282318,266542,67155,429116,119744,181044,143203,37841,367816
8,121,district,bundi,total,1110906,577160,533746,159884,585044,525862,526091,314806,211285,584815
8,121,district,bundi,rural,888205,461734,426471,131693,433518,454687,450555,255318,195237,437650
8,121,district,bundi,urban,222701,115426,107275,28191,151526,71175,75536,59488,16048,147165
23,467,district,burhanpur,total,757847,388504,369343,122869,408679,349168,328339,211925,116414,429508
23,467,district,burhanpur,rural,497560,254978,242582,87926,229184,268376,240536,140950,99586,257024
23,467,district,burhanpur,urban,260287,133526,126761,34943,179495,80792,87803,70975,16828,172484
10,232,district,buxar,total,1706352,887977,818375,295127,989807,716545,538322,402180,136142,1168030
10,232,district,buxar,rural,1541853,801086,740767,271245,878180,663673,494201,364632,129569,1047652
10,232,district,buxar,urban,164499,86891,77608,23882,111627,52872,44121,37548,6573,120378
18,316,district,cachar,total,1736617,886284,850333,256774,1174128,562489,608062,469752,138310,1128555
18,316,district,cachar,rural,1421153,727083,694070,222673,923736,497417,501605,382258,119347,919548
18,316,district,cachar,urban,315464,159201,156263,34101,250392,65072,106457,87494,18963,209007
7,95,district,central,total,582320,307821,274499,62739,442360,139960,207374,177621,29753,374946
7,95,district,central,rural,0,0,0,0,0,0,0,0,0,0
7,95,district,central,urban,582320,307821,274499,62739,442360,139960,207374,177621,29753,374946
29,578,district,chamarajanagar,total,1020791,512231,508560,100648,565279,455512,481693,324326,157367,539098
29,578,district,chamarajanagar,rural,845817,424884,420933,82603,442260,403557,414393,273447,140946,431424
29,578,district,chamarajanagar,urban,174974,87347,87627,18045,123019,51955,67300,50879,16421,107674
2,23,district,chamba,total,519080,261320,257760,70359,323842,195238,294035,158791,135244,225045
2,23,district,chamba,rural,482972,241963,241009,67015,293683,189289,280855,148335,132520,202117
2,23,district,chamba,urban,36108,19357,16751,3344,30159,5949,13180,10456,2724,22928
5,57,district,chamoli,total,391605,193991,197614,52161,280556,111049,180940,93832,87108,210665
5,57,district,chamoli,rural,332209,160369,171840,45217,232303,99906,157909,75841,82068,174300
5,57,district,chamoli,urban,59396,33622,25774,6944,48253,11143,23031,17991,5040,36365
5,65,district,champawat,total,259648,131125,128523,37028,177726,81922,99566,60427,39139,160082
5,65,district,champawat,rural,221305,110842,110463,32342,149910,71395,88092,50601,37491,133213
5,65,district,champawat,urban,38343,20283,18060,4686,27816,10527,11474,9826,1648,26869
15,284,district,champhai,total,125745,63388,62357,20645,100802,24943,60342,34129,26213,65403
15,284,district,champhai,rural,77216,39110,38106,13256,61022,16194,39067,21476,17591,38149
15,284,district,champhai,urban,48529,24278,24251,7389,39780,8749,21275,12653,8622,27254
9,196,district,chandauli,total,1952756,1017905,934851,309597,1174606,778150,652543,462971,189572,1300213
9,196,district,chandauli,rural,1710203,890630,819573,276287,1014020,696183,583994,406753,177241,1126209
9,196,district,chandauli,urban,242553,127275,115278,33310,160586,81967,68549,56218,12331,174004
14,280,district,chandel,total,144182,74579,69603,17187,90302,53880,76238,42615,33623,67944
14,280,district,chandel,rural,127335,65909,61426,14730,80017,47318,69449,38203,31246,57886
14,280,district,chandel,urban,16847,8670,8177,2457,10285,6562,6789,4412,2377,10058
4,0,state,chandigarh,total,1055450,580663,474787,119434,805438,250012,404136,328159,75977,651314
4,0,state,chandigarh,rural,28991,17150,11841,4270,19961,9030,12350,10664,1686,16641
4,0,state,chandigarh,urban,1026459,563513,462946,115164,785477,240982,391786,317495,74291,634673
4,55,district,chandigarh,total,1055450,580663,474787,119434,805438,250012,404136,328159,75977,651314
4,55,district,chandigarh,rural,28991,17150,11841,4270,19961,9030,12350,10664,1686,16641
4,55,district,chandigarh,urban,1026459,563513,462946,115164,785477,240982,391786,317495,74291,634673
27,509,district,chandrapur,total,2204307,1123834,1080473,231316,1578615,625692,1058172,648565,409607,1146135
27,509,district,chandrapur,rural,1428929,726106,702823,154465,962394,466535,797449,443040,354409,631480
27,509,district,chandrapur,urban,775378,397728,377650,76851,616221,159157,260723,205525,55198,514655
12,253,district,changlang,total,148226,76948,71278,25869,73174,75052,62966,39329,23637,85260
12,253,district,changlang,rural,128998,66283,62715,23628,58747,70251,55640,33283,22357,73358
12,253,district,changlang,urban,19228,10665,8563,2241,14427,4801,7326,6046,1280,11902
20,347,district,chatra,total,1042886,533935,508951,195321,510061,532825,397690,251213,146477,645196
20,347,district,chatra,rural,979932,500211,479721,186068,466597,513335,380036,236023,144013,599896
20,347,district,chatra,urban,62954,33724,29230,9253,43464,19490,17654,15190,2464,45300
33,603,district,chennai,total,4646732,2335844,2310888,459324,3776276,870456,1817297,1369302,447995,2829435
33,603,district,chennai,rural,0,0,0,0,0,0,0,0,0,0
33,603,district,chennai,urban,4646732,2335844,2310888,459324,3776276,870456,1817297,1369302,447995,2829435
23,425,district,chhatarpur,total,1762375,936121,826254,282794,943033,819342,751797,481518,270279,1010578
23,425,district,chhatarpur,rural,1363359,725273,638086,228834,671558,691801,620301,378524,241777,743058
23,425,district,chhatarpur,urban,399016,210848,188168,53960,271475,127541,131496,102994,28502,267520
22,0,state,chhatisgarh,total,25545198,12832895,12712303,3661689,15379922,10165276,12180225,7133866,5046359,13364973
22,0,state,chhatisgarh,rural,19607961,9797426,9810535,2924941,11008956,8599005,10063114,5522258,4540856,9544847
22,0,state,chhatisgarh,urban,5937237,3035469,2901768,736748,4370966,1566271,2117111,1611608,505503,3820126
23,455,district,chhindwara,total,2090922,1064468,1026454,272289,1294198,796724,957984,582263,375721,1132938
23,455,district,chhindwara,rural,1585739,806199,779540,217696,907838,677901,783608,449571,334037,802131
23,455,district,chhindwara,urban,505183,258269,246914,54593,386360,118823,174376,132692,41684,330807
29,582,district,chikkaballapura,total,1255104,636437,618667,132286,783222,471882,639778,384452,255326,615326
29,582,district,chikkaballapura,rural,973985,494463,479522,100028,580231,393754,529246,303901,225345,444739
29,582,district,chikkaballapura,urban,281119,141974,139145,32258,202991,78128,110532,80551,29981,170587
29,570,district,chikmagalur,total,1137961,566622,571339,105328,818345,319616,565774,357889,207885,572187
29,570,district,chikmagalur,rural,898453,447545,450908,82205,628083,270370,472818,287697,185121,425635
29,570,district,chikmagalur,urban,239508,119077,120431,23123,190262,49246,92956,70192,22764,146552
18,320,district,chirang,total,482162,244860,237302,73215,259902,222260,193894,128762,65132,288268
18,320,district,chirang,rural,446825,226895,219930,69176,234463,212362,181991,118641,63350,264834
18,320,district,chirang,urban,35337,17965,17372,4039,25439,9898,11903,10121,1782,23434
29,566,district,chitradurga,total,1659456,840843,818613,184280,1087392,572064,856587,513311,343276,802869
29,566,district,chitradurga,rural,1329923,675573,654350,149294,834419,495504,733242,420603,312639,596681
29,566,district,chitradurga,urban,329533,165270,164263,34986,252973,76560,123345,92708,30637,206188
9,171,district,chitrakoot,total,991730,527721,464009,175311,531072,460658,394197,254977,139220,597533
9,171,district,chitrakoot,rural,895398,476794,418604,162065,467692,427706,366770,231725,135045,528628
9,171,district,chitrakoot,urban,96332,50927,45405,13246,63380,32952,27427,23252,4175,68905
8,126,district,chittaurgarh,total,1544338,783171,761167,212507,821825,722513,802755,456632,346123,741583
8,126,district,chittaurgarh,rural,1259074,636415,622659,177215,614979,644095,700236,377162,323074,558838
8,126,district,chittaurgarh,urban,285264,146756,138508,35292,206846,78418,102519,79470,23049,182745
28,554,district,chittoor,total,4174064,2090204,2083860,444572,2667878,1506186,1933357,1202223,731134,2240707
28,554,district,chittoor,rural,2942678,1474052,1468626,320194,1757216,1185462,1490519,869581,620938,1452159
28,554,district,chittoor,urban,1231386,616152,615234,124378,910662,320724,442838,332642,110196,788548
14,274,district,churachandpur,total,274143,138820,135323,37445,195935,78208,122655,70594,52061,151488
14,274,district,churachandpur,rural,255786,129659,126127,35350,181518,74268,115240,66094,49146,140546
14,274,district,churachandpur,urban,18357,9161,9196,2095,14417,3940,7415,4500,2915,10942
8,102,district,churu,total,2039547,1051446,988101,317813,1149269,890278,902829,541404,361425,1136718
8,102,district,churu,rural,1463312,755028,708284,234283,791499,671813,732962,396102,336860,730350
8,102,district,churu,urban,576235,296418,279817,83530,357770,218465,169867,145302,24565,406368
33,632,district,coimbatore,total,3458045,1729297,1728748,319332,2635907,822138,1567950,1083125,484825,1890095
33,632,district,coimbatore,rural,839105,419032,420073,70035,554965,284140,452489,277811,174678,386616
33,632,district,coimbatore,urban,2618940,1310265,1308675,249297,2080942,537998,1115461,805314,310147,1503479
33,617,district,cuddalore,total,2605914,1311697,1294217,279950,1815281,790633,1169880,749633,420247,1436034
33,617,district,cuddalore,rural,1720725,868861,851864,192701,1126045,594680,851826,505773,346053,868899
33,617,district,cuddalore,urban,885189,442836,442353,87249,689236,195953,318054,243860,74194,567135
21,381,district,cuttack,total,2624470,1352760,1271710,271816,2011469,613001,936365,761876,174489,1688105
21,381,district,cuttack,rural,1888423,970885,917538,201598,1407978,480445,683899,553818,130081,1204524
21,381,district,cuttack,urban,736047,381875,354172,70218,603491,132556,252466,208058,44408,483581
26,0,state,dadraandnagarhavelianddamananddiu,total,586956,344061,242895,77829,411636,175320,278432,226727,51705,308524
26,0,state,dadraandnagarhavelianddamananddiu,rural,183114,98305,84809,28504,99142,83972,84123,55803,28320,98991
26,0,state,dadraandnagarhavelianddamananddiu,urban,160595,95455,65140,22391,124088,36507,73038,63490,9548,87557
26,496,district,dadranagarhaveli,total,343709,193760,149949,50895,223230,120479,157161,119293,37868,186548
26,496,district,dadranagarhaveli,rural,183114,98305,84809,28504,99142,83972,84123,55803,28320,98991
26,496,district,dadranagarhaveli,urban,160595,95455,65140,22391,124088,36507,73038,63490,9548,87557
29,575,district,dakshinakannada,total,2089649,1034714,1054935,208297,1666323,423326,997721,620903,376818,1091928
29,575,district,dakshinakannada,rural,1093563,541484,552079,111076,838316,255247,568551,335739,232812,525012
29,575,district,dakshinakannada,urban,996086,493230,502856,97221,828007,168079,429170,285164,144006,566916
22,416,district,dakshinbastardantewada,total,533638,264142,269496,79637,191237,342401,286595,153294,133301,247043
22,416,district,dakshinbastardantewada,rural,437405,213930,223475,67372,125381,312024,251128,126503,124625,186277
22,416,district,dakshinbastardantewada,urban,96233,50212,46021,12265,65856,30377,35467,26791,8676,60766
19,331,district,dakshindinajpur,total,1676276,857199,819077,188135,1083685,592591,702987,499560,203427,973289
19,331,district,dakshindinajpur,rural,1439981,737771,702210,169507,890661,549320,613578,431297,182281,826403
19,331,district,dakshindinajpur,urban,236295,119428,116867,18628,193024,43271,89409,68263,21146,146886
25,495,district,daman,total,191173,124659,66514,20458,150348,40825,105521,94502,11019,85652
25,495,district,daman,rural,32313,18367,13946,3419,24893,7420,14779,11946,2833,17534
25,495,district,daman,urban,158860,106292,52568,17039,125455,33405,90742,82556,8186,68118
25,0,district,damandiu,total,243247,150301,92946,26934,188406,54841,121271,107434,13837,121976
25,0,district,damandiu,rural,60396,32395,28001,7438,43089,17307,23303,18862,4441,37093
25,0,district,damandiu,urban,182851,117906,64945,19496,145317,37534,97968,88572,9396,84883
23,428,district,damoh,total,1264219,661873,602346,191968,747715,516504,574595,367711,206884,689624
23,428,district,damoh,rural,1013668,530471,483197,159999,564140,449528,482526,299504,183022,531142
23,428,district,damoh,urban,250551,131402,119149,31969,183575,66976,92069,68207,23862,158482
10,215,district,darbhanga,total,3937385,2059949,1877436,725482,1816634,2120751,1223640,947927,275713,2713745
10,215,district,darbhanga,rural,3554057,1858545,1695512,668296,1569893,1984164,1117368,857715,259653,2436689
10,215,district,darbhanga,urban,383328,201404,181924,57186,246741,136587,106272,90212,16060,277056
19,327,district,darjiling,total,1846823,937259,909564,193169,1315585,531238,683726,479586,204140,1163097
19,327,district,darjiling,rural,1118860,566965,551895,126773,736824,382036,428578,285007,143571,690282
19,327,district,darjiling,urban,727963,370294,357669,66396,578761,149202,255148,194579,60569,472815
18,325,district,darrang,total,928500,475273,453227,156408,487039,441461,324843,246864,77979,603657
18,325,district,darrang,rural,873006,446460,426546,150916,444075,428931,305157,230242,74915,567849
18,325,district,darrang,urban,55494,28813,26681,5492,42964,12530,19686,16622,3064,35808
23,422,district,datia,total,786754,420157,366597,110114,491445,295309,321160,225662,95498,465594
23,422,district,datia,rural,604772,323966,280806,86717,365567,239205,261170,177480,83690,343602
23,422,district,datia,urban,181982,96191,85791,23397,125878,56104,59990,48182,11808,121992
8,109,district,dausa,total,1634409,857787,776622,258144,938051,696358,684495,398151,286344,949914
8,109,district,dausa,rural,1432616,751900,680716,231445,796783,635833,625909,349583,276326,806707
8,109,district,dausa,urban,201793,105887,95906,26699,141268,60525,58586,48568,10018,143207
29,567,district,davanagere,total,1945497,986400,959097,217731,1308540,636957,875207,585639,289568,1070290
29,567,district,davanagere,rural,1316487,668267,648220,147770,838823,477664,640621,408033,232588,675866
29,567,district,davanagere,urban,629010,318133,310877,69961,469717,159293,234586,177606,56980,394424
21,373,district,debagarh,total,312520,158230,154290,39917,197819,114701,165435,92384,73051,147085
21,373,district,debagarh,rural,290130,146666,143464,37332,181300,108830,157390,86300,71090,132740
21,373,district,debagarh,urban,22390,11564,10826,2585,16519,5871,8045,6084,1961,14345
5,60,district,dehradun,total,1696694,892199,804495,201652,1259506,437188,582768,458834,123934,1113926
5,60,district,dehradun,rural,754753,392891,361862,99957,517836,236917,265341,198393,66948,489412
5,60,district,dehradun,urban,941941,499308,442633,101695,741670,200271,317427,260441,56986,624514
7,0,state,delhi,total,16787941,8987326,7800615,2012454,12737767,4050174,5587049,4762026,825023,11200892
